A1,A2,A3,A4,A5,heat,time
19.63,19.14,19.53,20.21,19.82,0.0,4322.0
19.43,18.95,19.63,20.31,19.73,0.0,4361.0
19.43,19.14,19.63,20.12,19.92,0.0,4401.0
19.63,19.24,19.73,20.21,20.02,0.0,4440.0
19.53,18.95,19.82,20.12,19.63,0.0,4480.0
19.73,19.14,19.82,20.21,19.82,0.0,4519.0
19.63,19.14,19.63,20.12,19.92,0.0,4558.0
19.63,19.14,19.73,20.21,19.63,0.0,4598.0
19.73,19.04,19.63,20.12,19.92,0.0,4637.0
19.73,19.34,19.82,20.12,19.92,0.0,4677.0
19.43,19.04,19.63,20.02,20.02,0.0,4717.0
19.53,18.95,19.82,20.12,19.63,0.0,4756.0
19.53,19.14,19.53,20.02,19.92,0.0,4796.0
19.34,19.14,19.92,20.31,19.63,0.0,4835.0
19.63,19.04,19.82,20.12,19.92,0.0,4875.0
19.73,19.34,19.73,20.21,20.02,0.0,4915.0
19.63,18.95,19.63,20.12,20.02,0.0,4954.0
19.63,19.14,19.92,20.31,19.82,0.0,4994.0
19.63,18.85,19.82,20.21,19.92,0.0,5032.0
19.43,18.85,19.73,20.12,19.92,0.0,5072.0
19.53,19.14,19.53,20.21,20.02,0.0,5112.0
19.53,19.14,19.73,20.21,19.82,0.0,5151.0
19.63,19.04,19.63,20.12,19.92,0.0,5191.0
19.43,19.14,19.73,20.02,19.82,0.0,5230.0
19.63,19.04,19.73,20.21,19.92,0.0,5270.0
19.63,19.04,19.73,20.21,19.92,0.0,5309.0
19.53,19.04,19.53,20.21,19.82,0.0,5349.0
19.73,19.14,19.73,20.31,19.82,0.0,5389.0
19.43,19.24,19.63,20.02,20.12,0.0,5428.0
19.73,19.14,19.63,20.31,19.73,0.0,5468.0
19.63,19.04,19.82,20.21,19.82,0.0,5507.0
19.73,19.14,19.82,20.21,19.92,0.0,5547.0
19.73,19.14,19.63,20.21,19.73,0.0,5586.0
19.73,19.34,19.73,20.21,19.82,0.0,5625.0
19.63,18.95,19.63,20.02,19.92,0.0,5665.0
19.43,19.04,19.63,20.31,20.02,0.0,5704.0
19.43,19.04,19.73,20.12,19.92,0.0,5744.0
19.73,19.14,19.82,20.21,19.82,0.0,5784.0
19.53,19.04,19.63,20.21,19.92,0.0,5823.0
19.43,18.95,19.92,20.02,19.92,0.0,5863.0
19.63,19.04,19.53,20.12,19.82,0.0,5902.0
19.34,19.04,19.82,19.92,20.12,0.0,5942.0
19.43,18.95,19.53,20.02,19.92,0.0,5982.0
19.63,19.14,19.92,20.31,20.02,0.0,6021.0
19.63,19.04,19.73,20.41,19.92,0.0,6061.0
19.63,19.04,19.63,20.41,20.12,0.0,6099.0
19.53,19.04,19.73,19.92,20.12,0.0,6139.0
19.53,18.75,19.92,20.12,19.82,0.0,6179.0
19.43,19.04,19.63,20.21,19.92,0.0,6218.0
19.63,19.04,19.82,20.12,19.82,0.0,6258.0
19.63,18.95,19.73,20.41,19.73,0.0,6297.0
19.53,19.14,19.92,20.21,20.02,0.0,6337.0
19.63,19.24,19.63,20.21,19.92,0.0,6377.0
19.63,19.14,19.53,20.21,19.82,0.0,6416.0
19.73,19.14,19.53,20.41,20.02,0.0,6456.0
19.43,19.04,19.53,20.31,20.12,0.0,6495.0
19.63,19.24,19.73,20.21,20.21,0.0,6535.0
19.63,18.95,19.63,20.31,19.92,0.0,6574.0
19.43,19.04,19.73,20.02,20.12,0.0,6614.0
19.73,19.14,19.92,20.02,19.92,0.0,6653.0
19.53,19.24,19.53,19.92,20.21,0.0,6692.0
19.63,19.14,19.82,20.12,19.92,0.0,6732.0
19.82,19.34,20.02,20.31,19.73,0.0,6771.0
19.53,19.14,19.92,20.31,19.92,0.0,6811.0
19.53,19.14,19.63,20.21,19.82,0.0,6851.0
19.63,19.34,19.63,20.21,19.92,0.0,6890.0
19.53,18.95,19.43,20.12,20.12,0.0,6930.0
19.63,19.14,19.92,20.31,19.73,0.0,6969.0
19.63,19.04,19.92,20.31,20.12,0.0,7009.0
19.43,18.95,19.63,20.31,19.92,0.0,7049.0
19.43,18.95,19.73,20.12,19.73,0.0,7088.0
19.82,19.24,19.53,20.12,20.02,0.0,7128.0
19.63,19.04,19.82,20.31,19.63,0.0,7166.0
19.63,19.24,19.73,20.41,19.82,0.0,7206.0
19.53,19.04,19.82,20.02,20.12,0.0,7246.0
19.53,19.14,19.73,20.21,19.92,0.0,7285.0
19.53,19.14,19.53,20.02,19.92,0.0,7325.0
19.73,19.04,19.82,20.31,19.63,0.0,7364.0
19.43,19.24,19.82,20.21,19.82,0.0,7404.0
19.63,19.24,19.73,20.21,20.12,0.0,7444.0
19.53,19.14,19.82,20.31,19.82,0.0,7483.0
19.43,19.14,19.53,20.21,19.92,0.0,7523.0
19.63,19.04,19.63,20.21,20.21,0.0,7562.0
19.43,19.34,19.82,20.21,19.92,0.0,7602.0
19.92,19.24,19.82,20.21,19.82,0.0,7642.0
19.63,19.04,19.82,20.12,19.92,0.0,7681.0
19.73,19.14,19.82,20.21,19.92,0.0,7720.0
19.63,18.95,19.92,19.92,20.12,0.0,7759.0
19.63,19.14,19.63,20.21,19.82,0.0,7799.0
19.53,18.95,19.73,20.21,19.82,0.0,7838.0
19.43,19.04,19.73,20.31,20.02,0.0,7878.0
19.63,19.24,19.73,19.92,20.02,0.0,7918.0
19.73,19.04,19.73,20.21,19.92,0.0,7957.0
19.73,19.24,19.63,20.12,19.82,0.0,7997.0
19.73,19.34,19.82,20.31,19.82,0.0,8036.0
19.34,19.14,19.73,20.02,20.02,0.0,8076.0
19.53,19.04,19.82,20.31,19.92,0.0,8116.0
19.63,19.04,19.53,20.21,19.92,0.0,8155.0
19.63,19.04,19.82,20.21,19.92,0.0,8195.0
19.63,19.14,19.73,20.31,19.92,0.0,8233.0
19.53,19.14,19.73,20.41,19.63,0.0,8273.0
19.63,19.24,19.82,20.31,20.02,0.0,8313.0
19.63,19.24,19.63,20.21,19.92,0.0,8352.0
19.73,19.24,19.82,20.12,20.02,0.0,8392.0
19.63,19.04,19.73,20.02,19.92,0.0,8431.0
19.73,19.14,19.73,20.21,20.02,0.0,8471.0
19.63,19.14,19.92,20.12,20.02,0.0,8511.0
19.73,19.04,19.82,20.12,19.92,0.0,8550.0
19.73,19.14,19.92,20.21,20.02,0.0,8590.0
19.73,19.04,19.53,20.12,19.73,0.0,8629.0
19.53,19.04,19.73,20.21,20.02,0.0,8669.0
19.53,19.04,19.82,20.21,20.21,0.0,8709.0
20.02,19.04,19.63,20.21,19.92,0.0,8748.0
19.53,18.85,19.82,20.21,19.92,0.0,8787.0
19.34,18.95,19.82,20.31,19.82,0.0,8826.0
19.63,19.14,19.82,20.51,19.92,0.0,8866.0
19.53,19.14,19.73,20.12,20.12,0.0,8906.0
19.63,19.14,19.63,20.21,19.82,0.0,8945.0
19.63,19.24,19.73,20.21,19.82,0.0,8985.0
19.73,19.24,19.63,20.31,19.92,0.0,9024.0
19.63,19.14,19.92,20.41,19.92,0.0,9064.0
19.43,19.24,19.63,20.21,19.92,0.0,9103.0
19.73,19.14,19.53,20.21,19.92,0.0,9143.0
19.34,19.04,19.43,20.21,20.02,0.0,9183.0
19.73,19.14,19.73,20.41,19.82,0.0,9222.0
19.63,19.04,19.82,20.21,19.73,0.0,9262.0
19.53,18.95,19.92,20.12,19.82,0.0,9300.0
19.63,19.04,19.82,20.21,20.02,0.0,9340.0
19.43,18.85,19.63,20.21,19.82,0.0,9380.0
19.63,19.14,19.63,20.12,19.92,0.0,9419.0
19.63,19.14,19.53,20.41,20.02,0.0,9459.0
19.63,19.24,19.82,20.21,19.92,0.0,9498.0
19.53,19.04,19.43,20.21,19.63,0.0,9538.0
19.63,19.14,19.53,20.31,19.73,0.0,9578.0
19.53,19.14,19.63,20.21,20.02,0.0,9617.0
19.73,19.14,19.73,20.21,19.82,0.0,9657.0
19.73,19.04,19.63,20.21,20.02,0.0,9696.0
19.53,19.04,19.63,20.21,19.82,0.0,9736.0
19.63,18.95,20.02,20.02,20.02,0.0,9776.0
19.63,19.14,19.82,20.02,20.12,0.0,9815.0
19.43,19.04,19.82,20.21,19.82,0.0,9854.0
19.53,19.14,19.92,20.21,19.92,0.0,9893.0
19.63,19.14,19.82,20.31,19.92,0.0,9933.0
19.53,18.85,19.73,20.31,19.63,0.0,9973.0
19.53,19.04,19.73,20.31,19.92,0.0,10012.0
19.73,19.24,20.02,20.41,19.92,0.0,10053.0
19.63,19.24,19.73,20.31,20.02,0.0,10093.0
19.53,18.95,19.53,20.31,19.82,0.0,10134.0
19.63,19.14,19.73,20.21,19.92,0.0,10175.0
19.43,19.04,19.82,20.21,19.82,0.0,10215.0
19.63,19.04,19.82,20.31,19.92,0.0,10256.0
19.53,19.14,19.82,20.21,19.73,0.0,10296.0
19.82,19.24,19.82,20.41,19.92,0.0,10337.0
19.63,18.95,19.92,20.21,19.73,0.0,10378.0
19.34,19.14,19.63,20.21,20.02,0.0,10418.0
19.63,19.24,19.63,20.12,19.92,0.0,10459.0
19.53,19.04,19.82,20.31,19.92,0.0,10499.0
19.73,19.24,19.53,20.21,19.92,0.0,10540.0
19.63,19.14,19.63,20.21,20.02,0.0,10580.0
19.53,19.24,19.73,20.21,19.92,0.0,10620.0
19.82,19.24,19.82,20.41,19.92,0.0,10661.0
19.73,19.14,19.82,20.12,20.02,0.0,10701.0
