A1,A2,A3,A4,A5,heat,time
21.29,21.09,21.68,21.97,21.19,0,9
21.48,21.19,21.78,21.97,20.90,0,15
21.48,21.19,21.58,21.97,21.29,0,51
21.39,21.09,21.68,21.87,21.09,0,89
21.58,21.29,21.58,21.97,21.00,0,125
21.48,21.19,21.58,21.87,21.29,0,164
21.58,21.09,21.78,22.07,21.09,0,202
21.68,21.19,21.58,21.97,21.19,0,241
21.48,21.19,21.68,21.87,21.00,0,280
21.48,21.19,21.68,22.07,21.00,0,318
21.39,21.29,21.68,21.87,21.00,0,357
21.39,21.19,21.78,21.97,20.90,0,395
21.58,21.09,21.78,22.17,20.90,0,434
21.48,21.19,21.58,22.07,21.19,0,473
21.58,21.29,21.58,22.17,21.09,0,510
21.39,20.90,21.78,21.87,21.19,0,549
21.48,21.19,21.48,22.07,21.09,0,587
21.68,21.29,21.58,21.97,21.09,0,626
21.48,21.19,21.48,22.07,21.29,0,664
21.58,21.29,21.68,21.97,21.09,0,703
21.48,21.29,21.58,22.07,21.00,0,742
21.48,21.19,21.58,21.78,21.09,0,780
21.58,21.29,21.68,21.97,21.09,0,819
21.58,21.29,21.68,21.87,21.19,0,857
21.39,21.09,21.68,21.87,21.00,0,896
21.58,21.00,21.68,21.97,21.09,0,933
21.68,21.09,21.68,21.87,21.00,0,972
21.58,21.29,21.58,21.97,21.00,0,1011
21.48,21.09,21.68,21.97,21.19,0,1050
21.29,21.29,21.78,21.97,21.19,0,1090
21.48,21.29,21.68,22.07,21.00,0,1129
21.58,21.09,21.48,21.97,21.19,0,1169
21.48,21.19,21.78,22.17,20.90,0,1209
21.48,21.19,21.58,21.97,21.19,0,1248
21.39,21.19,21.68,21.97,21.00,0,1288
21.48,21.29,21.58,21.97,21.09,0,1327
21.48,21.09,21.78,21.97,21.19,0,1367
21.39,21.29,21.78,21.87,21.19,0,1406
21.39,21.09,21.68,21.78,21.09,0,1445
21.39,21.19,21.68,22.07,21.00,0,1485
21.39,21.19,21.68,21.87,21.09,0,1524
21.39,21.19,21.58,21.87,21.19,0,1564
21.48,21.19,21.68,21.97,21.29,0,1604
21.48,21.09,21.68,21.97,21.09,0,1643
21.48,21.09,21.58,21.87,21.09,0,1683
21.39,21.19,21.68,22.07,21.00,0,1722
21.48,21.00,21.58,21.87,21.29,0,1762
21.39,21.19,21.68,21.97,21.19,0,1802
21.48,21.00,21.68,21.78,21.09,0,1841
21.58,21.29,21.58,21.97,21.09,0,1881
21.48,21.29,21.68,22.17,21.19,0,1920
21.48,20.90,21.78,21.87,21.19,0,1959
21.58,21.29,21.48,22.27,21.09,0,1998
21.39,21.19,21.58,21.97,21.00,0,2038
21.68,21.19,21.58,21.97,21.19,0,2078
21.68,21.19,21.78,22.17,21.19,0,2117
21.58,21.19,21.48,22.07,21.09,0,2157
21.39,21.29,21.39,22.07,21.00,0,2196
21.29,21.29,21.68,21.87,21.09,0,2236
21.78,21.29,21.78,22.17,21.00,0,2276
21.39,21.29,21.68,21.97,21.19,0,2315
21.48,21.00,21.78,21.87,21.00,0,2355
21.39,21.00,21.68,21.87,21.19,0,2394
21.78,21.09,21.58,21.97,21.19,0,2434
21.48,21.00,21.78,21.97,21.19,0,2473
21.58,21.29,21.78,22.17,21.09,0,2512
21.58,21.29,21.68,22.07,21.19,0,2552
21.48,21.00,21.68,21.78,21.19,0,2591
21.68,21.29,21.78,22.17,20.90,0,2631
21.48,21.19,21.78,21.87,21.00,0,2671
21.48,21.19,21.68,22.17,21.00,0,2710
21.58,21.29,21.58,21.87,20.90,0,2750
21.78,21.09,21.48,22.07,21.09,0,2789
21.48,21.00,21.58,21.97,21.29,0,2829
21.58,21.09,21.48,22.17,21.09,0,2869
21.48,20.90,21.68,21.87,20.90,0,2908
21.58,21.09,21.68,22.17,20.90,0,2948
21.39,21.19,21.58,21.97,21.09,0,2987
21.68,21.19,21.78,22.07,21.00,0,3026
21.39,21.19,21.68,21.97,21.29,0,3066
21.29,21.19,21.78,21.97,21.19,0,3105
21.58,21.09,21.58,21.97,21.00,0,3145
21.39,21.09,21.58,21.97,20.90,0,3184
21.58,21.09,21.58,22.27,20.90,0,3224
21.48,21.19,21.68,21.97,21.00,0,3263
21.29,21.19,21.68,21.97,21.00,0,3303
21.48,21.19,21.58,21.78,21.00,0,3343
21.58,21.09,21.78,22.07,20.90,0,3382
21.48,21.19,21.58,21.97,21.00,0,3422
21.48,21.29,21.68,21.97,21.09,0,3461
21.29,21.09,21.58,21.97,20.80,0,3501
21.58,21.09,21.78,21.97,21.09,0,3540
21.48,21.09,21.58,21.97,21.29,0,3579
21.48,21.09,21.68,21.97,21.19,0,3619
21.68,21.19,21.78,21.97,21.09,0,3658
21.48,21.29,21.68,22.07,21.19,0,3698
21.58,21.00,21.58,21.87,21.09,0,3738
