A1,A2,A3,A4,A5,heat,time
0,7291
16.21,0,7173
16.89,16.41,16.80,17.09,16.41,0,7213
16.89,16.41,16.89,17.19,16.41,0,7251
16.99,16.41,16.89,17.19,16.41,0,7291
16.22.07,21.48,22.17,22.46,21.68,0,3
22.07,21.48,22.27,22.46,21.48,0,9
21.97,21.78,22.17,22.27,21.78,0,15
22.27,21.68,22.27,22.36,21.58,0,51
22.27,21.78,22.17,22.36,21.58,0,89
22.17,21.48,22.17,22.46,21.68,0,125
22.27,21.78,22.27,22.46,21.78,0,164
22.17,21.68,22.17,22.56,21.68,0,202
22.27,21.78,22.27,22.56,21.58,0,241
22.17,21.58,22.07,22.56,21.68,0,280
22.27,21.68,22.17,22.56,21.58,0,318
22.27,21.68,22.27,22.56,21.58,0,357
21.97,21.68,22.27,22.46,21.58,0,395
22.27,21.68,22.27,22.36,21.58,0,434
22.27,21.78,22.27,22.27,21.58,0,473
21.87,21.78,22.17,22.46,21.78,0,510
21.97,21.68,22.07,22.46,21.68,0,549
22.17,21.68,22.07,22.66,21.68,0,587
22.17,21.68,22.17,22.46,21.58,0,626
21.87,21.68,22.07,22.36,21.58,0,664
21.87,21.68,22.17,22.36,21.58,0,703
22.17,21.78,22.17,22.66,21.68,0,742
22.27,21.68,22.07,22.46,21.78,0,780
22.17,21.58,22.17,22.56,21.48,0,819
22.07,21.68,22.27,22.46,21.68,0,857
22.07,21.68,22.17,22.46,21.58,0,896
22.17,21.68,22.17,22.46,21.78,0,933
22.07,21.68,21.97,22.66,21.78,0,972
21.87,21.78,22.07,22.36,21.78,0,1011
22.07,21.58,22.07,22.46,21.68,0,1050
22.17,21.78,22.07,22.56,21.78,0,1090
22.17,21.68,22.17,22.46,21.68,0,1129
22.27,21.68,22.17,22.36,21.68,0,1169
22.17,21.48,21.97,22.27,21.68,0,1209
22.17,21.78,22.17,22.56,21.68,0,1248
22.27,21.68,22.27,22.46,21.68,0,1288
22.17,21.68,22.07,22.46,21.68,0,1327
22.07,21.68,22.17,22.46,21.68,0,1367
22.27,21.58,22.17,22.56,21.68,0,1406
22.17,21.78,22.27,22.36,21.68,0,1445
22.17,21.78,22.07,22.46,21.78,0,1485
22.07,21.78,22.17,22.36,21.78,0,1524
22.17,21.68,22.17,22.46,21.78,0,1564
22.07,21.68,22.27,22.36,21.68,0,1604
21.97,21.78,22.17,22.66,21.68,0,1643
22.07,21.78,22.07,22.36,21.68,0,1683
22.17,21.68,22.17,22.66,21.68,0,1722
22.27,21.68,22.17,22.56,21.68,0,1762
22.17,21.68,22.27,22.56,21.78,0,1802
22.27,21.78,22.07,22.66,21.68,0,1841
22.17,21.68,22.17,22.46,21.58,0,1881
22.07,21.78,22.17,22.66,21.68,0,1920
22.07,21.78,22.27,22.66,21.78,0,1959
22.17,21.58,22.17,22.56,21.68,0,1998
22.27,21.58,22.27,22.46,21.58,0,2038
22.07,21.58,22.07,22.36,21.78,0,2078
22.27,21.78,22.17,22.66,21.78,0,2117
22.07,21.78,22.07,22.56,21.78,0,2157
22.17,21.58,22.17,22.46,21.78,0,2196
22.27,21.78,22.27,22.66,21.68,0,2236
22.07,21.78,22.17,22.66,21.78,0,2276
22.17,21.78,22.17,22.36,21.68,0,2315
22.07,21.48,22.17,22.36,21.58,0,2355
22.17,21.68,22.17,22.46,21.78,0,2394
22.27,21.68,22.17,22.56,21.78,0,2434
22.17,21.68,22.17,22.27,21.87,0,2473
22.07,21.78,22.27,22.56,21.68,0,2512
22.17,21.68,22.17,22.56,21.78,0,2552
22.27,21.68,22.27,22.46,21.68,0,2591
22.17,21.78,22.17,22.46,21.87,0,2631
22.07,21.78,22.17,22.56,21.78,0,2671
22.27,21.78,22.27,22.66,21.68,0,2710
22.17,21.78,22.17,22.75,21.68,0,2750
22.27,21.68,22.27,22.56,21.78,0,2789
22.07,21.78,22.17,22.66,21.68,0,2829
22.27,21.78,22.27,22.66,21.68,0,2869
22.17,21.78,22.17,22.46,21.68,0,2908
22.17,21.68,22.07,22.46,21.78,0,2948
22.17,21.78,22.17,22.46,21.68,0,2987
22.17,21.78,22.17,22.56,21.78,0,3026
22.17,21.68,22.27,22.36,21.78,0,3066
22.17,21.68,22.27,22.46,21.68,0,3105
15.92,15.53,16.11,16.21,15.72,0,3145
16.89,16.31,16.70,17.09,16.41,0,3184
16.80,16.41,16.80,17.29,16.41,0,3224
16.80,16.31,16.70,16.99,16.41,0,3263
16.89,16.41,16.89,17.09,16.41,0,3303
16.80,16.41,16.89,17.09,16.41,0,3343
16.89,16.41,16.80,17.09,16.41,0,3382
16.80,16.41,16.89,17.09,16.41,0,3422
16.80,16.41,16.60,16.99,16.41,0,3461
16.89,16.41,16.80,17.09,16.50,0,3501
16.70,16.31,16.89,16.99,16.41,0,3540
16.89,16.41,16.89,17.19,16.41,0,3579
16.89,16.41,16.89,17.09,16.41,0,3619
16.80,16.41,16.70,17.09,16.41,0,3658
16.80,16.31,16.80,16.99,16.31,0,3698
16.70,16.31,16.70,16.89,16.41,0,3738
16.89,16.41,16.89,17.29,16.41,0,3777
16.89,16.41,16.70,17.09,16.41,0,3817
16.80,16.41,16.60,16.89,16.41,0,3856
16.80,16.41,16.80,16.99,16.41,0,3896
16.60,16.41,16.80,16.99,16.31,0,3936
16.89,16.41,16.89,17.19,16.41,0,3975
16.89,16.31,16.89,16.99,16.41,0,4015
16.89,16.31,16.89,17.38,16.41,0,4054
16.89,16.41,16.89,17.29,16.50,0,4093
16.89,16.41,16.89,17.29,16.41,0,4133
16.89,16.41,16.89,16.99,16.41,0,4172
16.70,16.41,16.89,16.99,16.41,0,4212
16.89,16.41,16.89,17.38,16.41,0,4251
16.89,16.41,16.80,17.19,16.41,0,4291
16.80,16.21,16.89,17.09,16.31,0,4331
16.89,16.41,16.80,16.99,16.31,0,4370
16.70,16.21,16.80,17.29,16.41,0,4410
16.89,16.31,16.70,17.09,16.41,0,4449
16.80,16.31,16.80,16.99,16.31,0,4489
16.89,16.41,16.99,17.29,16.41,0,4528
16.70,16.31,16.80,17.09,16.50,0,4568
16.89,16.41,16.89,17.09,16.41,0,4608
16.80,16.41,16.89,17.09,16.41,0,4646
16.70,16.31,16.70,17.09,16.41,0,4686
16.89,16.41,16.89,17.29,16.41,0,4725
16.89,16.41,16.80,17.29,16.41,0,4765
16.70,16.41,16.89,16.99,16.41,0,4805
16.89,16.41,16.80,16.99,16.31,0,4844
16.80,16.41,16.80,16.99,16.41,0,4884
16.89,16.41,16.89,16.99,16.41,0,4923
16.99,16.41,16.89,17.19,16.41,0,4963
16.89,16.31,16.89,17.09,16.41,0,5003
16.70,16.41,16.80,17.09,16.41,0,5042
16.80,16.41,16.80,17.19,16.41,0,5082
16.89,16.21,16.89,17.38,16.41,0,5121
16.80,16.41,16.70,17.29,16.41,0,5160
16.80,16.41,16.80,17.09,16.41,0,5200
16.89,16.31,16.80,17.29,16.41,0,5239
16.89,16.31,16.89,16.99,16.41,0,5279
16.89,16.41,16.80,17.19,16.41,0,5318
16.89,16.41,16.89,17.09,16.41,0,5358
16.89,16.41,16.89,17.09,16.41,0,5398
16.89,16.41,16.89,17.09,16.41,0,5437
16.89,16.41,16.89,17.09,16.41,0,5477
16.89,16.41,16.89,17.19,16.41,0,5516
16.89,16.41,16.89,17.09,16.41,0,5556
16.89,16.31,16.89,17.09,16.31,0,5596
16.80,16.41,16.89,17.09,16.41,0,5635
16.70,16.41,16.89,17.09,16.41,0,5675
16.89,16.41,16.80,16.99,16.41,0,5713
16.89,16.31,16.89,17.09,16.41,0,5753
16.80,16.41,16.89,17.09,16.41,0,5792
16.80,16.41,16.70,17.09,16.41,0,5832
16.89,16.41,16.89,17.19,16.41,0,5872
16.89,16.41,16.89,17.29,16.41,0,5911
16.70,16.41,16.80,17.09,16.41,0,5951
16.80,16.31,16.80,17.19,16.41,0,5990
16.89,16.41,16.89,17.29,16.41,0,6030
16.80,16.41,16.70,16.99,16.41,0,6070
16.80,16.41,16.99,17.09,16.41,0,6109
16.89,16.41,16.80,17.09,16.41,0,6149
16.80,16.31,16.80,17.09,16.41,0,6188
16.89,16.41,16.89,17.38,16.41,0,6227
16.80,16.31,16.89,17.09,16.41,0,6267
16.80,16.41,16.80,16.99,16.41,0,6306
16.70,16.41,16.89,17.09,16.41,0,6346
16.89,16.41,16.89,16.99,16.41,0,6385
16.89,16.31,16.89,17.19,16.41,0,6425
16.80,16.31,16.70,17.09,16.41,0,6465
16.80,16.41,16.80,16.99,16.41,0,6504
16.80,16.41,16.80,17.29,16.50,0,6544
16.89,16.41,16.80,16.99,16.41,0,6583
16.89,16.41,16.80,16.99,16.41,0,6623
16.80,16.41,16.80,17.09,16.41,0,6663
16.80,16.31,16.80,17.09,16.41,0,6702
16.89,16.41,16.89,17.19,16.41,0,6742
16.89,16.41,16.89,17.19,16.31,0,6780
16.70,16.31,16.80,17.09,16.41,0,6820
16.70,16.41,16.80,17.19,16.50,0,6860
16.89,16.41,16.89,17.09,16.41,0,6899
16.80,16.41,16.80,17.09,16.41,0,6939
16.80,16.41,16.80,16.99,16.41,0,6978
16.89,16.41,16.89,17.19,16.41,0,7018
16.89,16.41,16.80,17.38,16.60,0,7057
16.70,16.31,16.89,17.29,16.50,0,7097
16.89,16.41,16.80,17.19,16.50,0,7137
16.80,16.41,16.80,17.19,16.41,0,7176
16.89,16.41,16.89,17.19,16.41,0,7216
16.80,16.41,16.80,17.09,16.41,0,7255
16.60,16.41,16.80,16.99,16.41,0,7294
16.89,16.41,16.89,17.19,16.41,0,7334
16.89,16.31,16.80,17.09,16.41,0,7373
16.80,16.41,16.70,17.09,16.41,0,7413
16.89,16.41,16.70,17.09,16.41,0,7452
16.70,16.31,16.80,17.09,16.50,0,7492
16.89,16.41,16.99,17.19,16.41,0,7532
16.89,16.41,16.89,17.19,16.41,0,7571
16.80,16.41,16.80,17.09,16.41,0,7611
16.89,16.41,16.80,17.19,16.41,0,7650
16.80,16.41,16.80,17.19,16.50,0,7690
16.89,16.41,16.99,16.99,16.50,0,7730
16.89,16.41,16.89,17.19,16.41,0,7769
16.80,16.41,16.80,17.29,16.41,0,7809
16.89,16.41,16.99,17.19,16.70,0,7847
16.89,16.41,16.99,17.19,16.41,0,7887
16.89,16.31,16.80,17.38,16.50,0,7927
16.89,16.41,16.89,17.29,16.50,0,7966
16.80,16.41,16.70,16.99,16.41,0,8006
16.80,16.31,16.89,17.09,16.41,0,8045
16.80,16.41,16.89,17.29,16.60,0,8085
16.80,16.41,16.80,17.19,16.70,0,8125
16.80,16.41,16.80,17.09,16.60,0,8164
16.89,16.41,16.89,17.09,16.50,0,8204
16.80,16.31,16.80,17.19,16.41,0,8243
16.89,16.41,16.70,17.09,16.50,0,8283
16.89,16.41,16.89,17.19,16.70,0,8322
16.89,16.41,16.89,17.29,16.89,0,8361
16.89,16.41,16.89,17.19,16.50,0,8401
16.89,16.41,16.89,17.29,16.60,0,8440
16.70,16.41,16.80,17.09,16.50,0,8480
16.80,16.41,16.89,17.09,16.41,0,8519
16.89,16.41,16.89,17.19,16.50,0,8559
16.80,16.41,16.80,17.09,16.60,0,8599
16.70,16.31,16.70,17.09,16.50,0,8638
16.89,16.41,16.89,17.29,16.60,0,8678
16.70,16.31,16.80,17.09,16.50,0,8717
16.89,16.41,16.80,17.09,16.50,0,8757
16.89,16.41,16.80,17.19,16.41,0,8797
16.89,16.41,16.80,17.09,16.70,0,8836
16.89,16.41,16.99,17.19,16.70,0,8876
16.80,16.31,16.70,17.19,16.50,0,8914
16.89,16.41,16.80,17.09,16.60,0,8954
16.80,16.21,16.80,17.09,16.70,0,8994
16.89,16.41,16.89,17.09,16.41,0,9033
16.89,16.41,16.89,17.29,16.89,0,9073
16.80,16.31,16.80,17.19,16.70,0,9112
16.80,16.41,16.70,16.99,16.50,0,9152
16.89,16.41,16.80,17.29,16.70,0,9192
16.80,16.41,16.89,17.19,16.70,0,9231
16.80,16.41,16.80,16.99,16.80,0,9271
16.80,16.41,16.70,17.29,16.60,0,9310
16.89,16.41,16.89,17.29,16.89,0,9350
16.89,16.41,16.80,16.99,16.70,0,9390
16.80,16.41,16.80,17.09,16.60,0,9428
16.80,16.41,16.99,17.29,16.89,0,9468
16.89,16.41,16.80,17.19,16.70,0,9507
16.80,16.41,16.89,17.19,16.70,0,9547
16.70,16.41,16.80,17.09,16.70,0,9586
16.89,16.41,16.89,17.19,16.80,0,9626
16.89,16.41,16.89,17.09,16.70,0,9666
16.80,16.41,16.80,17.19,16.70,0,9705
16.89,16.41,16.70,17.09,16.70,0,9745
16.89,16.41,16.89,17.19,16.70,0,9784
16.89,16.41,16.89,17.09,16.80,0,9824
16.80,16.41,16.89,17.09,16.70,0,9864
16.80,16.41,16.80,16.99,16.60,0,9903
16.89,16.41,16.89,17.09,16.89,0,9943
16.80,16.31,16.80,17.09,16.70,0,9981
16.89,16.41,16.80,17.19,16.60,0,10021
16.80,16.41,16.80,17.09,16.70,0,10062
16.80,16.31,16.99,17.19,16.60,0,10102
16.89,16.41,16.89,17.19,16.80,0,10143
16.80,16.41,16.89,17.09,16.70,0,10183
16.89,16.41,16.89,17.19,16.70,0,10224
16.70,16.41,16.80,16.99,16.60,0,10265
16.70,16.41,16.89,16.89,16.50,0,10305
16.89,16.41,16.89,17.09,16.60,0,10346
16.80,16.41,16.89,17.29,16.70,0,10386
16.80,16.41,16.89,17.19,16.70,0,10427
16.89,16.41,16.89,17.29,16.80,0,10468
16.89,16.41,16.89,17.29,16.80,0,10508
16.89,16.41,16.89,17.19,16.80,0,10549
16.80,16.41,16.80,16.99,16.70,0,10590
