A1,A2,A3,A4,A5,heat,time
5.04,0,3566
15.62,15.23,15.72,15.92,15.14,0,3606
15.62,15.23,15.82,15.92,15.14,0,36415.62,15.14,15.62,15.62,15.04,0,3
15.62,15.14,15.82,15.82,15.33,0,9
15.72,15.04,15.62,15.82,15.14,0,15
15.53,15.04,15.53,15.92,14.94,0,51
15.62,15.33,15.72,15.92,15.23,0,89
15.53,15.14,15.43,15.92,14.94,0,125
15.82,15.23,15.62,15.92,15.33,0,164
15.72,15.04,15.62,15.82,15.04,0,202
15.62,15.14,15.72,15.82,15.14,0,241
15.62,15.33,15.82,15.92,15.23,0,280
15.82,15.23,15.82,15.92,15.33,0,318
15.62,15.14,15.62,15.92,15.04,0,357
15.53,14.94,15.62,15.92,14.94,0,395
15.62,15.14,15.53,15.82,15.14,0,434
15.82,15.23,15.92,15.92,15.14,0,473
15.72,15.33,15.72,15.92,15.14,0,510
15.43,15.04,15.72,15.92,15.04,0,549
15.62,15.14,15.62,15.92,15.23,0,587
15.53,15.14,15.72,15.92,15.04,0,626
15.53,15.04,15.62,15.92,15.14,0,664
15.72,15.14,15.82,15.82,15.23,0,703
15.62,15.04,15.62,15.92,15.04,0,742
15.53,15.04,15.53,15.72,15.04,0,780
15.53,15.14,15.62,15.92,15.04,0,819
15.53,15.04,15.62,15.92,15.23,0,857
15.53,15.04,15.53,15.92,15.14,0,896
15.82,15.23,15.82,15.92,15.33,0,933
15.62,15.23,15.72,15.92,15.04,0,972
15.82,15.33,15.62,15.92,15.14,0,1011
15.53,15.14,15.82,15.92,15.14,0,1050
15.62,15.04,15.72,15.92,15.14,0,1090
15.43,15.14,15.53,15.82,15.14,0,1129
15.43,15.14,15.53,15.82,15.04,0,1169
15.53,15.14,15.62,15.92,15.14,0,1209
15.43,14.94,15.62,15.92,15.14,0,1248
15.72,15.14,15.72,15.92,15.14,0,1288
15.72,15.04,15.62,15.92,15.14,0,1327
15.62,15.04,15.53,15.82,15.04,0,1367
15.62,15.14,15.62,15.92,15.14,0,1406
15.43,15.04,15.43,15.92,14.94,0,1445
15.72,15.23,15.62,15.92,15.33,0,1485
15.53,15.14,15.62,15.82,15.14,0,1524
15.53,15.14,15.62,15.92,15.23,0,1564
15.62,15.04,15.53,15.92,15.04,0,1604
15.62,15.23,15.82,15.82,15.14,0,1643
15.53,14.94,15.82,15.82,15.04,0,1683
15.72,15.14,15.72,15.92,15.33,0,1722
15.82,15.33,15.72,15.92,15.14,0,1762
15.62,15.14,15.62,15.82,15.14,0,1802
15.53,15.04,15.62,15.82,15.14,0,1841
15.53,15.04,15.53,15.92,15.14,0,1881
15.82,15.14,15.72,15.92,15.14,0,1920
15.53,15.04,15.53,15.92,15.14,0,1959
15.62,15.23,15.62,15.92,15.14,0,1998
15.62,15.14,15.72,15.92,15.23,0,2038
15.53,15.04,15.62,15.92,15.14,0,2078
15.53,15.14,15.53,15.92,15.04,0,2117
15.62,15.04,15.62,15.92,15.23,0,2157
15.62,15.04,15.72,15.92,15.23,0,2196
15.53,15.23,15.72,15.72,15.33,0,2236
15.43,15.04,15.62,15.92,15.14,0,2276
15.62,15.23,15.72,15.92,15.14,0,2315
15.72,15.23,15.72,15.92,15.23,0,2355
15.72,15.33,15.92,15.92,15.33,0,2394
15.72,15.14,15.72,15.92,15.33,0,2434
15.53,15.14,15.62,15.92,15.14,0,2473
15.82,15.04,15.72,15.82,15.23,0,2512
15.72,15.23,15.72,15.92,15.23,0,2552
15.82,15.14,15.62,15.92,15.14,0,2591
15.62,15.14,15.72,15.92,15.23,0,2631
15.43,15.14,15.62,15.92,15.23,0,2671
15.82,15.14,15.72,15.82,15.33,0,2710
15.53,15.14,15.72,15.92,15.23,0,2750
15.53,15.04,15.62,15.82,15.14,0,2789
15.53,15.04,15.72,15.82,15.14,0,2829
15.53,15.04,15.62,15.92,15.04,0,2869
15.53,15.23,15.62,15.92,15.23,0,2908
15.62,15.23,15.82,15.92,15.33,0,2948
15.62,15.14,15.72,15.92,15.14,0,2987
15.62,15.14,15.72,15.92,15.23,0,3026
15.53,15.14,15.72,15.92,15.14,0,3066
15.62,15.23,15.62,15.92,15.14,0,3105
15.82,15.33,15.92,15.92,15.23,0,3145
15.53,15.14,15.62,15.92,15.14,0,3184
15.72,15.23,15.62,15.92,15.14,0,3224
15.72,15.23,15.82,15.92,15.23,0,3263
15.72,15.33,15.82,15.82,15.23,0,3303
15.72,15.23,15.62,15.92,15.33,0,3343
15.53,15.33,15.72,16.02,15.33,0,3382
15.72,15.33,15.92,15.92,15.33,0,3422
15.72,15.23,15.72,15.92,15.23,0,3461
15.53,15.04,15.53,15.92,15.14,0,3501
15.53,15.14,15.62,15.92,15.33,0,3540
15.62,15.23,15.62,15.92,15.14,0,3579
15.72,15.23,15.72,15.92,15.33,0,3619
15.72,15.04,15.62,15.82,15.14,0,3658
15.72,15.14,15.82,15.92,15.14,0,3698
15.62,15.04,15.72,15.92,15.04,0,3738
15.53,15.14,15.82,15.92,15.23,0,3777
15.62,15.23,15.72,15.92,15.23,0,3817
15.62,15.23,15.82,15.92,15.33,0,3856
15.92,15.23,15.82,15.92,15.23,0,3896
15.72,15.23,15.82,15.92,15.43,0,3936
15.62,15.14,15.53,15.92,15.23,0,3975
15.72,15.04,15.62,15.92,15.14,0,4015
15.62,15.04,15.82,15.92,15.14,0,4054
15.62,15.04,15.53,15.92,15.14,0,4093
15.53,15.04,15.62,15.72,15.04,0,4133
