A1,A2,A3,A4,A5,heat,time
22.07,21.87,22.27,22.85,21.97,0.0,4322.0
21.87,21.87,22.36,22.56,21.97,0.0,4361.0
21.87,21.68,22.46,22.85,22.17,0.0,4401.0
22.07,22.17,22.36,22.85,21.87,0.0,4440.0
22.17,21.78,22.46,22.56,22.07,0.0,4480.0
22.27,21.68,22.36,22.46,22.07,0.0,4519.0
22.07,21.97,22.36,22.75,21.78,0.0,4558.0
21.97,21.78,22.36,22.85,21.87,0.0,4598.0
21.87,22.07,22.27,22.75,21.78,0.0,4637.0
22.17,21.68,22.36,22.75,22.07,0.0,4677.0
22.17,21.87,22.56,22.46,21.97,0.0,4717.0
21.87,21.97,22.66,22.75,21.87,0.0,4756.0
22.07,22.07,22.36,22.75,21.97,0.0,4796.0
22.27,21.78,22.27,22.75,21.97,0.0,4835.0
22.17,21.68,22.27,22.56,22.17,0.0,4875.0
21.97,21.78,22.36,22.85,22.07,0.0,4915.0
21.97,21.97,22.56,22.56,21.97,0.0,4954.0
22.17,21.78,22.27,22.85,22.07,0.0,4994.0
22.07,21.87,22.27,22.66,22.07,0.0,5032.0
22.07,21.78,22.27,22.46,22.17,0.0,5072.0
22.27,21.87,22.36,22.56,21.97,0.0,5112.0
22.07,21.48,22.36,22.66,21.87,0.0,5151.0
21.87,21.87,22.36,22.66,22.07,0.0,5191.0
21.97,21.87,22.36,22.66,21.97,0.0,5230.0
22.17,22.07,22.36,22.66,22.07,0.0,5270.0
22.17,21.78,22.46,22.66,21.87,0.0,5309.0
22.27,21.68,22.46,22.27,22.07,0.0,5349.0
22.07,21.78,22.17,22.75,22.17,0.0,5389.0
22.17,21.78,22.36,22.75,21.87,0.0,5428.0
22.17,21.78,22.36,22.66,22.17,0.0,5468.0
21.97,21.87,22.46,22.66,22.07,0.0,5507.0
22.27,21.78,22.66,22.75,22.07,0.0,5547.0
22.36,21.78,22.36,22.85,21.97,0.0,5586.0
22.27,21.87,22.36,23.05,21.97,0.0,5625.0
22.07,21.68,22.46,22.66,21.87,0.0,5665.0
22.17,21.87,22.46,22.75,21.97,0.0,5704.0
22.17,21.87,22.27,22.66,22.07,0.0,5744.0
22.17,21.87,22.46,22.75,22.07,0.0,5784.0
22.07,21.68,22.17,22.56,21.78,0.0,5823.0
22.27,21.87,22.36,22.66,22.07,0.0,5863.0
22.17,21.87,22.56,22.75,22.07,0.0,5902.0
