A1,A2,A3,A4,A5,heat,time
25.39,24.71,25.39,25.29,25.88,1.0,23762.0
25.68,24.51,25.39,25.39,25.88,1.0,23802.0
25.39,24.71,25.39,25.49,25.98,1.0,23843.0
25.49,24.8,25.59,25.68,25.88,1.0,23884.0
25.29,24.51,25.59,25.59,25.88,1.0,23924.0
25.39,24.61,25.68,25.49,25.98,1.0,23965.0
25.29,24.8,25.68,25.29,25.78,1.0,24005.0
25.68,24.71,25.59,25.49,25.88,1.0,24046.0
25.39,24.32,25.39,25.29,26.07,1.0,24087.0
25.49,24.71,25.49,25.49,25.88,1.0,24127.0
25.49,24.71,25.59,25.59,25.88,1.0,24168.0
25.39,24.8,25.29,25.39,25.88,1.0,24208.0
25.59,24.51,25.39,25.49,25.68,1.0,24249.0
25.2,24.51,25.49,25.39,25.78,1.0,24290.0
25.39,24.61,25.59,25.49,26.07,1.0,24330.0
25.29,24.71,25.49,25.39,25.78,1.0,24371.0
25.2,24.8,25.59,25.59,26.07,1.0,24411.0
25.59,24.8,25.59,25.29,25.98,1.0,24452.0
25.1,24.8,25.39,25.59,26.07,1.0,24493.0
25.49,24.9,25.68,25.39,25.78,1.0,24532.0
25.29,24.71,25.49,25.39,25.88,1.0,24573.0
25.39,24.9,25.49,25.49,25.98,1.0,24614.0
25.59,24.8,25.59,25.39,25.88,1.0,24654.0
25.39,24.71,25.59,25.39,25.78,1.0,24695.0
25.59,24.71,25.59,25.39,26.07,1.0,24735.0
25.39,24.71,25.49,25.39,25.98,1.0,24776.0
25.39,24.41,25.59,25.68,25.98,1.0,24817.0
25.29,24.51,25.39,25.29,25.88,1.0,24857.0
25.2,24.61,25.68,25.59,25.88,1.0,24898.0
25.39,24.61,25.49,25.39,25.98,1.0,24938.0
25.39,24.8,25.78,25.49,25.98,1.0,24979.0
25.49,24.8,25.49,25.49,26.17,1.0,25020.0
25.29,25.0,25.39,25.68,26.17,1.0,25060.0
25.49,24.8,25.39,25.49,25.98,1.0,25101.0
25.39,24.71,25.39,25.59,26.07,1.0,25141.0
25.29,24.8,25.59,25.59,26.07,1.0,25182.0
25.49,25.0,25.39,25.49,25.98,1.0,25223.0
25.68,24.51,25.59,25.68,25.98,1.0,25263.0
25.49,24.71,25.49,25.68,25.88,1.0,25304.0
25.49,24.8,25.39,25.59,26.27,1.0,25344.0
25.2,24.71,25.59,25.59,26.07,1.0,25384.0
25.39,24.51,25.59,25.49,26.07,1.0,25425.0
25.49,24.8,25.49,25.2,26.27,1.0,25465.0
25.39,24.61,25.49,25.39,26.07,1.0,25506.0
25.29,24.61,25.88,25.49,25.98,1.0,25547.0
25.39,24.8,25.59,25.68,26.07,1.0,25587.0
25.49,24.71,25.68,25.59,25.98,1.0,25628.0
25.49,24.71,25.68,25.49,26.17,1.0,25668.0
25.49,24.71,25.59,25.49,26.17,1.0,25709.0
25.49,24.71,25.68,25.59,26.07,1.0,25750.0
25.2,24.71,25.49,25.49,26.17,1.0,25790.0
25.1,24.9,25.59,25.59,25.98,1.0,25831.0
25.29,24.61,25.49,25.59,26.27,1.0,25871.0
25.39,24.71,25.49,25.68,26.17,1.0,25912.0
25.39,24.61,25.59,25.59,26.17,1.0,25953.0
25.49,24.71,25.49,25.29,26.27,1.0,25993.0
25.2,24.8,25.49,25.39,26.17,1.0,26034.0
25.49,24.71,25.68,25.59,26.17,1.0,26074.0
25.29,24.71,25.59,25.39,26.17,1.0,26115.0
25.29,24.8,25.59,25.68,26.17,1.0,26156.0
25.39,24.8,25.68,25.49,26.37,1.0,26195.0
25.49,24.8,25.39,25.59,26.37,1.0,26236.0
25.39,24.71,25.49,25.68,26.27,1.0,26276.0
25.59,25.0,25.49,25.29,26.17,1.0,26317.0
25.29,24.8,25.59,25.49,26.27,1.0,26358.0
25.68,24.8,25.68,25.39,26.07,1.0,26398.0
25.49,24.51,25.59,25.59,26.46,1.0,26439.0
25.39,24.8,25.59,25.59,26.56,1.0,26480.0
25.49,24.8,25.78,25.59,26.27,1.0,26520.0
25.2,24.71,25.49,25.59,26.27,1.0,26561.0
25.49,24.61,25.49,25.59,26.46,1.0,26601.0
25.29,24.71,25.39,25.68,26.27,1.0,26642.0
25.39,24.61,25.59,25.39,26.46,1.0,26683.0
25.39,24.61,25.49,25.39,26.37,1.0,26723.0
25.39,24.8,25.39,25.59,26.27,1.0,26764.0
25.39,24.51,25.59,25.29,26.37,1.0,26804.0
25.29,24.61,25.39,25.49,26.17,1.0,26845.0
25.59,24.8,25.39,25.39,26.66,1.0,26886.0
25.39,24.8,25.68,25.39,26.27,1.0,26926.0
25.29,24.71,25.49,25.49,26.66,1.0,26967.0
25.39,24.8,25.39,25.49,26.46,1.0,27006.0
25.49,24.51,25.68,25.68,26.46,1.0,27047.0
25.29,24.71,25.78,25.59,26.46,1.0,27088.0
25.39,24.61,25.59,25.59,26.66,1.0,27128.0
25.39,24.71,25.29,25.49,26.37,1.0,27169.0
25.39,24.8,25.39,25.68,26.56,1.0,27210.0
25.49,24.8,25.59,25.49,26.46,1.0,27250.0
25.49,24.8,25.49,25.68,26.56,1.0,27291.0
25.49,24.8,25.49,25.59,26.46,1.0,27331.0
25.49,24.51,25.39,25.39,26.37,1.0,27372.0
25.2,24.8,25.78,25.68,26.66,1.0,27413.0
25.49,25.0,25.29,25.49,27.93,1.0,35119.0
25.29,24.61,25.39,25.59,27.64,1.0,35160.0
25.39,24.71,25.59,25.59,27.93,1.0,35201.0
25.29,24.61,25.39,25.59,27.64,1.0,35160.0
25.39,24.71,25.59,25.59,27.93,1.0,35201.0
