A1,A2,A3,A4,A5,heat,time
22.95,22.66,23.24,23.44,23.73,0.0,2108.0
22.85,22.75,23.24,23.54,23.44,0.0,2148.0
23.05,22.56,23.05,23.54,23.54,0.0,2188.0
23.05,22.46,22.95,23.63,23.73,0.0,2227.0
23.05,22.56,23.24,23.63,23.63,0.0,2267.0
22.95,22.66,23.54,23.63,23.83,0.0,2306.0
23.05,22.36,22.95,23.73,23.54,0.0,2345.0
22.95,22.46,23.24,23.34,23.44,0.0,2385.0
22.85,22.56,23.05,23.73,23.83,0.0,2424.0
22.75,22.66,23.34,23.54,23.54,0.0,2464.0
23.05,22.36,23.05,23.83,23.63,0.0,2503.0
22.95,22.27,23.05,23.54,23.63,0.0,2543.0
22.95,22.56,23.34,23.54,23.73,0.0,2583.0
22.85,22.46,23.14,23.63,23.63,0.0,2622.0
22.85,22.36,23.24,23.34,23.44,0.0,2662.0
22.95,22.36,23.44,23.73,23.83,0.0,2701.0
22.85,22.46,23.14,23.73,23.63,0.0,2741.0
23.05,22.46,23.05,23.63,23.63,0.0,2780.0
22.95,22.27,23.24,23.54,23.44,0.0,2820.0
23.24,22.27,22.95,23.73,23.54,0.0,2860.0
22.75,22.75,23.34,23.44,23.54,0.0,2898.0
22.95,22.36,23.14,23.63,23.73,0.0,2938.0
22.95,22.66,23.24,23.63,23.93,0.0,2977.0
22.85,22.66,23.44,23.73,23.63,0.0,3017.0
22.85,22.56,23.44,23.44,23.63,0.0,3057.0
22.85,22.66,23.24,23.73,23.93,0.0,3096.0
23.05,22.36,23.34,23.54,23.73,0.0,3136.0
23.14,22.56,23.24,23.54,23.73,0.0,3175.0
23.05,22.27,23.05,23.54,23.73,0.0,3215.0
22.85,22.56,23.05,23.54,23.54,0.0,3255.0
22.95,22.75,23.34,23.54,23.73,0.0,3294.0
22.85,22.66,23.24,23.54,23.63,0.0,3334.0
23.05,22.46,23.14,23.73,23.83,0.0,3373.0
22.85,22.56,23.24,23.54,23.54,0.0,3412.0
22.85,22.56,23.05,23.63,23.83,0.0,3452.0
22.75,22.36,23.05,23.34,23.54,0.0,3491.0
22.95,22.66,23.14,23.54,23.73,0.0,3531.0
23.05,22.46,23.24,23.54,23.44,0.0,3570.0
23.14,22.36,23.14,23.73,23.54,0.0,3610.0
22.95,22.36,23.34,23.54,23.54,0.0,3650.0
23.05,22.56,22.95,23.73,23.63,0.0,3689.0
23.14,22.46,23.24,23.63,24.02,0.0,3729.0
23.14,22.27,23.14,23.73,23.54,0.0,3768.0
